,Q,A,label
8885,5년째 짝사랑 중인데 포기해야 할까?,길었던 시간만큼 결정하기 힘들었겠어요.,2
8886,6년째 연애중,부럽네요.,2
8887,AB형 남자랑 썸 타면,최대한 이해해보세요.,2
8888,AB형 여자랑 썸 타면,하고 싶은 걸 표현할 수 있게 해주세요.,2
8889,A형 남자랑 썸을 타게 됨,사소한 걸 기억해보세요.,2
8890,A형 여자랑 썸을 타게 됨,세심하게 챙겨주세요.,2
8891,B형 남자랑 썸 탐.,계속 칭찬해보세요.,2
8892,B형 여자랑 썸 탐.,자신이 가장 자신다울 수 있게 도와주세요.,2
8893,CC 레알 별로임?,헤어질 경우 엮여 있는 사람이 많으니까요.,2
8894,O형 남자와 썸을 타는데,애교 부려보세요.,2
8895,O형 여자와 썸을 타는데,엄청 사랑해주세요.,2
8896,가끔 짝남과 연애하는 상상을 해.,즐거운 상상이겠네요.,2
8897,가끔 짝사랑 하는 여자애랑 데이트 하는 상상을 해.,상상은 해도 상관 없어요.,2
8898,가슴 뛰는 사랑,두근거리겠어요.,2
8899,가슴 찢어지게 아파. 그 사람은 내 마음 알까?,내 맘도 때론 알기가 힘든걸요.,2
8900,가슴이 뛰어,사랑의 증상이예요.,2
8901,가을 타나 봐.,외로운 옆구리를 채워보아요.,2
8902,가을 타나 봐.,혼자는 외로운 계절이죠.,2
8903,가족끼리 엄청 친한 사인인데 좋아하게 됐어요. 고백했다 차이거나 헤어지면 어떡하죠.,어색한 사이가 될지도 모르겠어요.,2
8904,가족이 아니지만 가족같은.,가족이 될 사람일지도 모르죠.,2
8905,각자 집에 인사드리러 가,제가 더 떨리네요.,2
8906,간간히 동굴에 들어가는 남친 어떻게 해야돼?,믿고 나올 때까지 잠시 기다려주세요.,2
8907,간접적으로 차버린 짝남한테 연락하고 싶어요.,마음 정리가 쉽지 않지요.,2
8908,감당 못하는 사랑,감당할 수 있는 만큼만 베푸세요.,2
8909,감정싸움 그만하고 싶어,자존심을 세우지 마세요.,2
8910,갑자기 사랑한다고 이야기해도 될까?,갑자기 말하면 상대방이 당황하지 않을까요.,2
8911,갑자기 선을 긋는 사람,너무 사적 영역으로 들어왔나봅니다.,2
8912,강아지 좋아하는 남자 어떤 것 같아?,따뜻할 거 같아요.,2
8913,강아지 좋아하는 여자 어떤 것 같아?,마음이 따뜻할 것 같아요.,2
8914,강아지 좋아하는 남자 어때?,따뜻할 거 같아요.,2
8915,강아지 좋아하는 여자 어때?,마음이 따뜻할 것 같아요.,2
8916,같은 과에 내 이상형인 남자애가 있는데 cc는 무리일까?,CC는 아무래도 제약이 있을 거예요.,2
8917,같은 회사에 좋아하는 여자가 생겼어,마음이 복잡하겠어요.,2
8918,같이 살까?,함께 있는 시간이 많아서 더 행복할 거예요.,2
8919,같이 일하는 사람에게 어떻게 연락을 시작할까?,일 이야기로 시작해보세요.,2
8920,같이 있으면 너무 좋아,행복해 보여서 보기 좋아요.,2
8921,같이 있자고 말해도 될까?,두려워말고 말해보세요.,2
8922,객관적으로 짝남 별로인걸 아는데도 좋아해. 이런 내가 너무 싫어.,짝사랑이 판단력을 흐리게 만들죠.,2
8923,걔 앞에만 서면 말이 안 나와,무슨 말을 할지 연습해보세요.,2
8924,걔도 날 좋아하는 건지 매너인지 모르겠음.,다른 분에게도 잘해주는지 살펴봐요.,2
8925,걔한테 잘보이고 싶은데 무슨 옷을 입는게 좋을까?,깔끔한 스타일이 좋을 것 같습니다.,2
8926,거래처 직원을 좋아하게 됐는데 어떻게 연락할까.,관계를 지속해도 되는 사이라면 직접 물어보는게 좋겠어요.,2
8927,거리가 먼데 고백하면 받아줄까?,거리를 뛰어넘는 사랑이라면 가능하겟죠.,2
8928,거짓말 하는 썸남 말해?,거짓말은 습관이에요.,2
8929,걷자고 꼬셔,살랑대는 바람에 마음도 움직일 거예요.,2
8930,게스트하우스에서 만난 짝남이 관심이 가는데 내게 말 걸게 하고 싶어.,눈을 계속 마주치면서 웃어보세요.,2
8931,게스트하우스에서 만난 짝녀와 남은 일정을 같이 여행하고싶어.,일정 안 짰다고 하면서 일정을 물어보세요.,2
8932,게임 아이템 지르는 남친,이해할 수 있는 적정선을 정해보세요.,2
8933,게임에서 만난 사람 좋아하게 되었는데 괜찮을까요?,좀 더 알아볼 시간이 필요하겠네요.,2
8934,결국 사랑이었어,그걸로 충분해요.,2
8935,결혼 결심 이유,만나서 같이 있음 헤어지기 싫었나봅니다.,2
8936,결혼 결심한 계기가 있었어?,내가 싫어하는 걸 아무것도 안해서요.,2
8937,결혼 결심한 이유 있어?,정말 사랑해서요. 같이 있을 때 편하고요.,2
8938,결혼 상대로 괜찮을까?,기준을 가지고 더 면밀히 살펴보세요.,2
8939,결혼 생각 없는데 꼭 남자친구 부모님을 만나야할까?,꼭 만날 필요는 없어요.,2
8940,결혼 생각 없었는데 결혼하고 싶어진 이유?,이 사람 아니면 결혼 안 하고 살 것 같았나봅니다.,2
8941,결혼 전에 다이어트 해야겠지?,꼭 해야 할 필요는 없어요.,2
8942,결혼 전에 준비할 게 많겠지?,결혼을 하려는 두 사람의 마음이 가장 먼저 준비되어야 할 거예요.,2
8943,결혼 전에 혼란스러워,정신적으로 육체적으로 힘들고 인생의 큰 변화니까요.,2
8944,결혼 준비하는 과정이 행복해,행복한 예비신부네요.,2
8945,결혼 준비하면서 많이 싸워?,사랑 싸움이라고 생각하세요.,2
8946,결혼 준비하면서 못 보던 모습을 보게 돼,본 모습일지도 몰라요.,2
8947,결혼 해도 되는지 고민돼,결혼은 인생에서 중요해서 항상 고민이 되죠.,2
8948,결혼날짜 받아왔어,드디어 결혼하는 군요!,2
8949,결혼상대로는 아닌거 같은 여자친구가 결혼을 원해,결혼에 대해 직접적인 대화를 나눠보세요.,2
8950,결혼생활에 회의감이 들어,함께 극복할 수 있을 거예요.,2
8951,결혼식 날짜 잡았대,축하해주세요.,2
8952,결혼식 날짜 잡으려고,축하드려요.,2
8953,결혼식 앞두고 고민이야,결혼 전에는 누구나 혼란스럽죠.,2
8954,결혼식장 벌써 차있더라,발품을 더 팔아보세요.,2
8955,결혼은 타이밍인가?,결혼뿐만 아니라 인생은 타이밍의 연속이예요.,2
8956,결혼은 하고 싶은데 며느리는 되기 싫어,그럼 어머니가 없는 남자를 만나서 결혼하세요.,2
8957,결혼은 현실이지?,100퍼센트 현실입니다.,2
8958,결혼을 앞두고 있습니다,좋으면서 복잡하겠어요.,2
8959,결혼이야기를 꺼내고 싶은데 어느 분위기에 꺼내는게 좋을까?,미래에 대해 이야기해보세요.,2
8960,결혼적령기가 언제야?,내가 결혼할 때가 결혼적령기예요.,2
8961,결혼적령기가 지나가는 거 같아,내가 결혼할 때가 결혼적령기예요.,2
8962,결혼적령기가 지나면 결혼하기 힘들겠지?,내가 결혼할 때가 결혼적령기예요.,2
8963,결혼전제로 만나고 있어,좋은 사람이랑 좋은 연애 하세요.,2
8964,결혼준비하면서 과연 행복할까 고민돼,많이 싸우셨나봐요.,2
8965,결혼하고 나서 애 낳기 싫어졌어,둘이 알콩달콩 잘 살면 되죠.,2
8966,결혼하고 싶다,좋은 사람이랑 결혼할 수 있을 거예요.,2
8967,결혼하는데 돈이 엄청 드네,스몰웨딩으로 준비하면 조금이라도 줄일 수 있을 거예요.,2
8968,결혼하는데 보통 얼마 들어?,어떻게 준비하느냐에 따라 달라지겠죠.,2
8969,결혼하는데 준비할 게 많네,인생에서 중요한 행사니까요.,2
8970,결혼하면 안 좋은 점?,모든 함께할 수 있다는 거요.,2
8971,결혼하면 좋은 점 말해줘,모든 함께할 수 있는 게 좋죠.,2
8972,결혼하면좋을까,누구랑 하느냐에 따라 다르겠지요.,2
8973,결혼한지 1년 됐는데 넘 좋아,계속 행복하실 거예요.,2
8974,결혼한지 3개월 행복해,계속 행복하실 거예요.,2
8975,결혼한지 반년인데 이렇게 행복해도 될까 싶어,충분히 즐기세요.,2
8976,결혼할 사람이 나한테 거짓말한 거 같아,충격이 크시겠네요.,2
8977,결혼해도 되는 건지 모르겠어,결혼 전에 고민이 많겠어요.,2
8978,결혼해도 될까?,마음가는대로 해보세요.,2
8979,결혼해서도 설렐까?,노력하면 얼마든지 가능해요.,2
8980,결혼해서도 연애하는 것 같아,알콩달콩 부럽네요.,2
8981,경제력 보는게 이기적인거야?,경제력도 한 부분이니 보는 게 당연하죠.,2
8982,계속 그 사람 생각만 해.,자연스러운 현상이에요.,2
8983,계속 그 사람한테 의지해도 될까?,의지해도 좋을 사람이라면 의지해도 돼요.,2
8984,계속 그리워,그리워만 하지 말고 연락해보세요.,2
8985,계속 사랑하고 싶다,예쁜 사랑하세요!,2
8986,계속 살아도 될까?,당신의 인생은 당신만이 주인공이에요.,2
8987,계속 생각하고 좋아하면 꿈에 나오려나.,생각을 자주하면 나올 수 있어요.,2
8988,계속 좋아하는 거 무리일까요.,마음이 허락하는 한이라고 말할 수 있겠네요.,2
8989,고마워.,감사합니다.,2
8990,고맙다,감사합니다.,2
8991,고민이 많은데 표현을 못하겠어,글로 적어보세요. 조금이나마 정리가 될 거예요.,2
8992,고백,성공하길 바랄게요.,2
8993,고백 받고 싶어,먼저 고백해보세요.,2
8994,고백 받으면 기분 어떨까?,사랑하는 사람이니까 좋을 거예요.,2
8995,고백 언제 하지,고백은 타이밍입니다.,2
8996,고백 좀 하지,먼저 고백하는 것도 좋지만 슬쩍 호감을 표현해보세요.,2
8997,고백도 못하겠어,고백도 용기가 필요해요.,2
8998,고백은 어떻게 하는거야,솔직한 마음으로 다가가는 거죠.,2
8999,고백조차 못해보고 끝났어,아직도 사랑한다면 용기를 내서 다시 시작해보세요.,2
9000,고백하고 싶어,지금이에요.,2
9001,고백하고 어색해지면 어떡하지?,그때 걱정해도 안 늦어요.,2
9002,고백한 애가 연락이 느려.,바쁘거나 감정의 변화가 생겼을지도 모르겠어요.,2
9003,고백한 애가 톡이 느려.,바쁜 상황일 수도 있어요.,2
9004,고백한 애가 톡이 안와.,바쁘거나 감정의 변화가 생겼을지도 모르겠어요.,2
9005,고백할 타이밍인 거 같아,성공하길 빌어요.,2
9006,고백합니다,성공하길 바랄게요.,2
9007,고백해도 될까?,당신의 마음이 정리되었다면 고백해보세요.,2
9008,고백했는데 답장이 없어.,바쁘거나 거절의 의미일 수도 있겠어요.,2
9009,고백했다 차이면 어쩌지?,진심으로 고백하면 좋은 결과가 있을 거예요.,2
9010,고뱄했는데 너무 떨려.,충분히 그럴만 해요. 차분히 기다려보세요.,2
9011,공공장소에서의 스킨쉽 어떻게 생각해?,보는 사람들을 생각해주세요.,2
9012,공시 붙자 마자 결혼하재,외부 상황도 중요하겠지만 결혼할 마음이 생기면 해도 늦지 않아요.,2
9013,공시 준비하는데 연애하면 안되겠지?,지금 뭐가 중요한지 객관적으로 생각해보세요.,2
9014,공시생인데 연애 해도 될까?,공부랑 연애랑 둘 다 잘하고 싶은 욕심쟁이네요.,2
9015,공휴일에 데이트하자고 해봐야지,지금 연락해보세요.,2
9016,과묵한 타입인건가?,그게 매력포인트가 되기도 하죠.,2
9017,과함 설렘 후에 지금은 안 설레,처음에 몰아서 설렜나봐요.,2
9018,과함 설렘 후에 지금은 안 설레,초반에 너무 설렜나봐요.,2
9019,관심을 받는다는거.,참 좋죠.,2
9020,관심있는 여자애한테 의미있는 선물을 주고 싶은데 뭘 주면 좋아할까요?,필요한 게 뭔지 살펴보세요.,2
9021,괜찮아 사랑이야,사랑이 모두 정답이 될수는 없어요.,2
9022,괜찮은 사람 발견함. 여친 있는지 물어봐도 됨?,당장 물어보세요.,2
9023,괜찮은 사람인지 어떻게 알 수 있을까?,충분한 대화를 나눠보는게 좋아요.,2
9024,괜히 화가 나서 짝남한테 연락 끊자고 했어.,상처를 받지 않기 위한 선택이었을 거예요.,2
9025,교양 듣는데 심남 있음. 썸 타고 싶다.,호감을 어느 정도 표현해보는 것도 좋을 것 같아요.,2
9026,교양 듣는데 어떤 남자가 자꾸 쳐다 봐. 관심 있는 걸까?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.,2
9027,교양 듣는데 어떤 여자가 자꾸 쳐다봄. 썸 각?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.,2
9028,교회 오빠한테 눈이 가,성경 공부는 안하고 연애 공부하나봅니다.,2
9029,교회에 좋아하는 여자애가 생겼어.,일요일이 기다려지겠네요.,2
9030,교회에 좋아하는 오빠가 생겼어.,일요일이 기다려지겠네요.,2
9031,구남친하고 헤어진지 얼마 안됐는데 다른 사람을 좋아하게 됐어.,사람은 사람으로 잊는 거예요.,2
9032,구속을 너무 많이 해,그만큼 관심있고 열정적으로 사랑하나봐요.,2
9033,구썸남 보고싶어.,썸으로 끝날 사이가 아니었네요.,2
9034,구썸남 인스타에 좋아요 누름.,좋아요 정도는 괜찮을 거예요.,2
9035,구썸남한테 연락하고 싶다.,후회하지 않는다면 연락해보세요.,2
9036,구여친이랑 헤어진지 꽤 됐는데 좋아하는 사람이 없음.,조급하게 생각하지 않아도 된답니다.,2
9037,구짝남한테 카톡했는데 읽씹해서 미련 없이 차단했어요.,그러는 편이 나을 거예요.,2
9038,군대 때문에 헤어져야하는게 고민임.,현실적인 고민이네요.,2
9039,군대가기 전인데 썸녀한테 고백해도 될까,상대방이 부담을 느낄지 생각해보세요.,2
9040,군대를 기다리는게 너무 힘들어,군대 기다리는 건 큰 인내심이 필요하죠.,2
9041,군인 남친 보고 싶어,조금만 참고 기다려보세요.,2
9042,군인인데 여자친구 보고 싶어,조금만 참고 기다려보세요.,2
9043,권태기 어떻게 해결해야할까.,연애 초기 데이트를 해보면서 극복해보세요.,2
9044,권태기가 찾아온 이유?,편안하고 익숙해져서 그런 것 같네요.,2
9045,귀찮으면 썸 끝인가,감정이 식었을 수도 있겠어요.,2
9046,그 남자를 좋아해도 되는지 고민이야.,좋아하면 안되는 상황인가봐요.,2
9047,그 사람 때문에 하루에도 몇 번씩 기분이 오르락 내리락 해.,그게 사랑의 증거가 되겠네요.,2
9048,그 사람 생각에 잠이 안 와.,복잡한 마음이 가득한가봐요.,2
9049,그 사람 이상형 알고 싶어,주변 사람들한테 물어보는 것도 좋을 것 같아요.,2
9050,그 사람과 내 맘이 같을까?,같길 바라야죠.,2
9051,그 사람은 나한테 관심이 없는걸까?,당사자만이 알 수 있어요.,2
9052,그 사람이 나를 좋아하는 줄 알았는데.,아니어서 힘드나봐요.,2
9053,그 사람이 나를 찾았으면 좋겠어,필요한 사람이 될 수 있을 거예요.,2
9054,그 사람이 날 좋아하는 이유가 뭘까.,그 자체죠.,2
9055,그 사람이 뭐하는지 궁금해.,뭐하냐고 물어봐봐요.,2
9056,그 사람이 저를 그만 좋아하게 하는 방법 있을까요?,확실한 의사 표현을 하는게 좋겠네요.,2
9057,그 애 앞에서 말을 잘 못하겠어,좀 더 편하게 대해도 좋을 것 같아요.,2
9058,그 애도 내 생각을 할까?,연락해 보는게 좋을 거예요.,2
9059,그 여자를 좋아해도 되는지 고민이 됩니다.,좋아해선 안되는 사람인가봐요.,2
9060,그가 내 연락을 부담스러워하진 않을까.,덜 부담스럽게 연락하는 방법이 있는지 모르겠네요.,2
9061,그게 잘 안되네.,마음이 쉽지 않죠.,2
9062,그냥 결혼이나 할까?,도피성 결혼은 하지 않길 바라요.,2
9063,그녀가 내 연락을 부담스러워할까?,덜 부담스럽게 연락하는 방법이 있는지 모르겠네요.,2
9064,그녀가 지금 내 눈앞에 있습니다.,저랑 이야기할 때가 아니네요.,2
9065,그녀는 나를 어떻게 생각할까?,아직은 잘 모르겠어요.,2
9066,그녀는 내 마음을 알까?,표현하지 않으면 몰라요.,2
9067,그녀는 내가 좋아하는 것을 이용하는 거야?,그렇다면 정말 나쁜 사람이네요.,2
9068,그녀는 내가 좋아하는 이 상황을 즐기는 것 같아.,나쁜 사람일지도 모르겠네요.,2
9069,그녀는 조금이라도 내 생각을 할까?,제가 생각해드릴게요.,2
9070,그녀는 지금 무슨 생각을 할까?,직접 물어보는 게 좋겠어요.,2
9071,그녀는 지금 뭐하고 있을까?,궁금하면 용기내서 연락해보세요.,2
9072,그녀도 나를 좋아하는 줄 알았는데 아닌가봐.,가끔 헷갈리게 하는 사람이 있어요.,2
9073,그녀도 나를 좋아했으면 좋겠는데.,그럼 더할 나위 없겠지요.,2
9074,그녀도 내 생각을 할까?,연락해 보는게 좋겠어요.,2
9075,그녀를 다시 찾았습니다,다행이네요.,2
9076,그녀를 생각할 수록 내가 비참해져.,잘 이뤄지지 않았나봐요.,2
9077,그녀와 같은 조가 하고 싶어.,먼저 다가가보세요.,2
9078,그녀의 환심을 살 수 있는 방법이 뭐가 있을까?,그녀가 좋아하는게 뭔지 찾아봐요.,2
9079,그는 나를 어떻게 생각할까?,글쎄요.,2
9080,그는 내 마음을 알까?,표현하지 않으면 몰라요.,2
9081,그는 내가 좋아하는 마음을 이용하는 걸까?,그렇다면 정말 나쁜 사람이네요.,2
9082,그는 내가 좋아하는 이 상황을 즐기는 것 같아.,나쁜 사람일지도 모르겠네요.,2
9083,그는 조금이라도 내 생각을 할까?,제가 생각해드릴게요.,2
9084,그는 지금 무슨 생각을 할까?,연락을 해보세요.,2
9085,그는 지금 뭐하고 있을까.,궁금하면 용기내서 연락해보세요.,2
9086,그도 나를 좋아하는 줄 알았는데 아니었어.,가끔 헷갈리게 하는 사람이 있어요.,2
9087,그도 나를 좋아했으면 좋겠다.,타이밍이 맞았으면 좋겠네요.,2
9088,그를 생각하면 할수록 내가 비참해.,상황이 원하지 않는 방향으로 흘렀나봐요.,2
9089,그를 좋아하면 내가 비참해지는거 아는데도 포기가 안돼.,비참한 사랑이라면 늦기 전에 정리하는게 좋아요.,2
9090,그리울수록 아파,더 아프기 전에 찾아가보세요.,2
9091,그사람 이상형 궁금해,주변 사람에게 물어보거나 직접 물어보세요.,2
9092,그와 같은 조가 되고 싶은데 먼저 말해볼까?,먼저 다가가보세요.,2
9093,그의 환심을 살 수 있을까?,노력하는 데에 따라 다르겠죠.,2
9094,그저 그런 연애,그게 제일 힘들어요.,2
9095,근황이 궁금해,연락해보세요.,2
9096,급 내 짝남 생각나는 일화가.,말씀 해보세요.,2
9097,기념일에 선물 어느정도로 해줘?,지갑이 열릴 수 있는 만큼요.,2
9098,기념일은 언제언제 챙겨?,내키는대로요.,2
9099,기다리는 것도 행복해,네가 오후 네시에 온다면 나는 세시부터 행복해질 거야-어린왕자,2
9100,기다림 속에 갇혀 있어,그 속에서 나오세요.,2
9101,기댈 수 있는 남자 만나고 싶어,서로 기댈 수 있었으면 더 좋을 것 같아요.,2
9102,기댈 수 있는 사람이 이상형이야,서로 기댈 수 있었으면 더 좋을 것 같아요.,2
9103,긴 머리가 잘 어울렸던 그녀,못 잊고 있나봐요.,2
9104,길에서 첫사랑 만났어,세상 참 좁네요.,2
9105,꼬시는 방법,그 사람이 좋아하는 걸 알아보세요.,2
9106,꿈에 나온 여자를 어떻게 찾을 수 있을까?,서울에서 왕서방 찾기네요.,2
9107,꿈에서 썸 나는 남자애가 자꾸 나와,그분 생각을 많이 했나 봐요. 곧 좋은 소식이 들리려고 하는 것 아닐까요?,2
9108,꿈에서 썸 타는 여자애가 나와,그분 생각을 많이 했나 봐요. 곧 좋은 소식이 들리려고 하는 것 아닐까요?,2
9109,꿈에서 자꾸 어떤 남자애가 나와,자기도 모르는 사이에 관심이 생긴 건 아닐까요? 차분히 생각해 보세요.,2
9110,꿈에서 자꾸 어떤 여자애가 나와,자기도 모르는 사이에 관심이 생긴 건 아닐까요? 차분히 생각해 보세요.,2
9111,끝이 보이는 사랑해도 될까?,끝이 바뀔 순 없는 건가봅니다.,2
9112,끼 부리는 사람 어때?,나한테만 부리면 좋아요.,2
9113,나 같이 서로 좋아하는 거 확인하고 사귄 사람 있나.,있지요.,2
9114,나 같이 향기로 좋아하게 되는 사람도 있나?,후각이 예민한 사람은 그런 경우가 많다고 해요.,2
9115,나 그대로를 사랑해줄 사람 있나,분명히 있을 거예요.,2
9116,나 기억했으면 좋겠다,기억할 거예요.,2
9117,나 둘다 좋아하는 것 같애,마음의 방이 두 개 있나봐요.,2
9118,나 또 짝남을 2년동안 좋아하는 건가.,오래 마음을 주는 타입인가봐요.,2
9119,나 뚱뚱한데 좋아하는 남자에게 연락해도 될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2
9120,나 맨날 놀리는 애가 있는데 나 좋아하는건가?,좋아하고 있을지도 모르겠네요.,2
9121,나 보고 잘 웃는 여자애 나 좋아하는 건가?,직접 알아보는 것이 좋아요.,2
9122,나 부담스러워하면 어쩌지?,좀 더 편안하게 대해보세요.,2
9123,나 사랑에 빠졌죠,행복해보여요.,2
9124,나 사랑하긴 했니?,사랑은 변하는 거예요.,2
9125,나 사랑하는 사람 생겼어,축하해요. 예쁜 사랑하길 바라요.,2
9126,나 사랑할 자격 없는 사람이야,사랑에는 조건이 필요없어요.,2
9127,나 사랑할 준비 됐나?,된 것 같네요.,2
9128,나 사랑해서 만나는 거겠지?,사랑하는지 물어보세요.,2
9129,나 상사병 걸렸나봐,그 사람을 많이 좋아했나봐요.,2
9130,나 설레는데 혹시 썸?,혼자 설레면 짝사랑 같이 설레면 썸입니다.,2
9131,나 쉬운 남자 아니야,서로 존중하는 마음이 중요할 거예요.,2
9132,나 쉬운 사람이라고 생각하면 어쩌지?,그렇게 생각하는 사람 만나지 마세요.,2
9133,나 쉬운 여자 아니야,쉽고 어려운 건 상관 없어요.,2
9134,나 쉽게 보나,나를 무시하지 않고 존중하는지 살펴보세요.,2
9135,나 썸타는 것 같은데 설레발인 부분?,고민 하고 있으면 썸의 가능성이 높겠네요.,2
9136,나 얘를 좋아하는 걸까?,있었던 일을 차분히 생각해봐요.,2
9137,나 어장인듯,어장의 고기어도 좋을지 어장을 나가는 게 좋을지 생각해보세요.,2
9138,나 연락하지 말라고 단호하게 해줘.,절대 연락하지 마세요.,2
9139,나 오늘 심쿵함,오늘 잠 못 이루겠네요.,2
9140,나 왜 사랑할까?,사랑에는 구구절절한 이유가 필요 없어요.,2
9141,나 왜 사랑해?,당신이니까요.,2
9142,나 왜 이렇게 화냈었지?,돌아보면 다그치지 않고 화내지 않아도 될 일이었을 거예요.,2
9143,나 왜 좋아할까?,당신은 당신이란 이유로 이미 그럴 자격이 있어요.,2
9144,나 윗집 남자애 좋아하는 것 같애.,가깝게 살아서 더 좋겠네요.,2
9145,나 자꾸 놀리는 애가 있는데 나 좋아하는건가.,당신에게만 그런다면 좋아할 확률이 있습니다.,2
9146,나 자체를 사랑해줄 사람이 있을까,잘 찾아보세요.,2
9147,나 좀 봐줬으면 좋겠어,사랑을 구걸하지 마세요.,2
9148,나 좀 사랑해줘,사랑합니다!,2
9149,나 좋아하는 남자애 없나봄. 넘 외로워.,좋아하는 사람이 생길 거예요.,2
9150,나 좋아하는 애 떼어내는 방법 좀 알려줘.,미안하지만 확실한 표현을 전하는게 좋겠어요.,2
9151,나 좋아하는 애 생겼나봐.,좋은 소식 아닌가요?,2
9152,나 좋아하는 애가 갑자기 연락을 안하는데 숨은 뜻이 있는건가?,짐작하는 것보다 먼저 연락해 보는게 좋겠어요.,2
9153,나 좋아하는 애가 매일 선톡 걸다가 갑자기 톡을 안함.,이제 먼저 선톡을 해보세요.,2
9154,나 좋아하는 여자애가 없는 듯. 나 왜 사냐.,언젠간 당신을 좋아해주는 사람이 생길 거예요.,2
9155,나 좋아하는 여자애한테 답장이 안와.,바쁘거나 마음이 없는걸지도 모르겠어요.,2
9156,나 진심인데,진심이 꼭 전해질 거예요.,2
9157,나 짝남이 외국인인데 어떡해. 미치겠어.,먼저 친해져보세요.,2
9158,나 처음 연애해봐,새로 해보는 게 많겠어요.,2
9159,나 혼자 썸 타는 부분?,직접적이든 간접적이든 의사를 확실히 밝혀보세요.,2
9160,나 혼자만의 썸일까?,직접적이든 간접적이든 의사를 확실히 밝혀보세요.,2
9161,나는 꼼꼼한데 여친은 안 꼼꼼해.,꼼꼼함을 강요하지 말고 이해해주세요.,2
9162,나는 못난거 같은데 인기있는 여자에게 연락해도 될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2
9163,나는 못났는데 인기있는 남자에게 연락해도될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2
9164,나는 못생겼는데 좋아하는 여자에게 연락해도 될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2
9165,나는 받기만 하는 것 같아,고마움을 표시하고 더 많이 주세요.,2
9166,나는 사랑 표현이 어색한데 여자친구는 너무 적극적인 표현을 원해,적극적으로 표현해주는 게 좋겠죠. 어색하지만 연습해보세요.,2
9167,나는 아직 고백 전인데 소문 나서 짝녀가 알게 됐는데 어떻게 함?,그 사실에 사과하고 늦지 않게 고백하는게 좋을 것 같아요.,2
9168,나는 아직 고백안했는데 소문이 나서 짝남이 알게 됐어.,많이 당황했겠어요.,2
9169,나는 왜 사랑하는 사람에게 잔인했던가,돌아보면 다그치지 않고 화내지 않아도 될 일이었을 거예요.,2
9170,나는 좋아하는데 그 사람은 나를 친구로만 생각해.,이성으로 대하고 싶다고 말해보세요.,2
9171,나도 모르게 니 생각을 하고 있어,무의식이 진심을 말하죠.,2
9172,나도 좋아하는 사람이랑 놀러가고 싶어.,용기를 내서 말해보세요.,2
9173,나도 좋아하는 사람이랑 영화 보고 싶다.,먼저 연락해 보는건 어떨까요?,2
9174,나랑 다른 애들 자꾸 엮는 애가 있는데 얘 나한테 관심있나?,그 사람만이 알고 있을 사실이네요.,2
9175,나랑 딱 맞는 사람이 있을까?,맞춰가기도 하죠.,2
9176,나랑 맨날 엮이는 사람이 있는데 좋아졌어.,부딛히는 일이 많아 호감이 생겼나봐요.,2
9177,나랑 사귈래?,저라도 괜찮다면 좋아요.,2
9178,나랑 썸 타는 줄 알았는데 내 동기랑 사귐.,찔러본 건가봐요.,2
9179,나랑 썸 타던 여자애가 내 친구랑 사귄대,뒷통수 맞았네요.,2
9180,나랑 썸타는 애가 영화보재.,좋은 소식이네요.,2
9181,나랑만 연락하면,썸일 가능성이 높겠죠.,2
9182,나를 떠보는 것 같은 짝남.,떠보는 것보다 직구 날려보세요.,2
9183,나를 보는 거 같아,자꾸 시선을 마주쳐보세요.,2
9184,나를 설레게하는사람,좋아하나봐요.,2
9185,나를 왜 좋아하는 걸까?,당신의 매력이 넘쳐날 거예요.,2
9186,나를 정말 사랑하는 걸까?,사랑 받는 자신이 알겠죠.,2
9187,나를 좋아하는 사람도 있을까?,있을 거예요.,2
9188,나를 좋아하는 사람은 아무도 없을거야.,그건 절대 아닐 거예요.,2
9189,나를 좋아하는 사람을 만나는 건 축복일거야.,서로 사랑하는 건 기적이죠.,2
9190,나를 좋아하는 사람이 있는데 철벽치게 돼요.,좋아하지 않는다면 그럴 수 있어요.,2
9191,나를 좋아하는 애랑 친구 가능?,그건 좀 힘들 것 같아요.,2
9192,나를 좋아하는건 바라지도 않아요.,슬픈 말이에요.,2
9193,나를 좋아하는데 숨기는 사람한테 나도 좋아한다고 어떻게 표현해?,솔직하게 먼저 말하는게 좋아요.,2
9194,나를 좋아하지 않는 그 사람이 너무 미워.,충분히 미워하고 천천히 정리하세요.,2
9195,나를 좋아한다는 사람한테 호감이 생길까요?,꾸준히 만나다보면 생길 수 있어요.,2
9196,나를 진심으로 좋아해주는 사람이 생겼으면 소원이 없겠어.,언젠간 인연이 닿을 거예요.,2
9197,나를 진심으로 좋아해주는 사람이랑 만날 걸.,어떤 선택이든 후회가 남기 마련이지요.,2
9198,나를 친구로서 좋아하는 걸까?,아직 확신하긴 일러요.,2
9199,나만 너무 좋아하는거 같애,더 표현해 달라고 말해보세요.,2
9200,나만 안되는 연애,당신의 인연이 있을거예요.,2
